Country Name,Country Code,Indicator Name,Indicator Code,y2010
Lao PDR,LAO,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.064
Latin America & Caribbean (all income levels),LCN,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.14089994
Latin America & Caribbean (developing only),LAC,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.11761752
Latvia,LVA,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.48292683
Least developed countries: UN classification,LDC,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.64120531
Lebanon,LBN,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.4087561
Lesotho,LSO,Life expectancy at birth total (years),SP.DYN.LE00.IN,47.36507317
Liberia,LBR,Life expectancy at birth total (years),SP.DYN.LE00.IN,56.14758537
Libya,LBY,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.75312195
Liechtenstein,LIE,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Lithuania,LTU,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.26829268
Low & middle income,LMY,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.65762326
Low income,LIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.84457572
Lower middle income,LMC,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.53706093
Luxembourg,LUX,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.08780488
Macao SAR China,MAC,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.77531707
Macedonia FYR,MKD,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.61885366
Madagascar,MDG,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.46707317
Malawi,MWI,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.46263415
Malaysia,MYS,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.02456098
Maldives,MDV,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.55141463
Mali,MLI,Life expectancy at birth total (years),SP.DYN.LE00.IN,50.95482927
Malta,MLT,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.94878049
Marshall Islands,MHL,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Mauritania,MRT,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.21695122
Mauritius,MUS,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.96731707
Mexico,MEX,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.68378049
Micronesia Fed. Sts.,FSM,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.76482927
